장단점이 확실한 영화장점은 단연 영상미와 연출이라 할 수 있겠고단점은 뻔한 스토리와 부족한 개연성스토리만을 중시한다면 실망할 작품이고영상미 또한 중요시 한다면 영상미만으로도 또 보고 샆어지는 영화,10
그저 쩐다. 개쩐다 이말밖에 안나온다.,10
즐겁게 봤습니다. 역시 최고,10
가슴 쫄리는 볼만한 사극 픽션 영화였다!,9
2년 또 어떻게 기다리죠 ㅜㅜ진짜 영상 연출 감탄만으로도 3시간 반이 훌쩍 가는 느낌 스토리가 아쉽다는 평도 이해는 되는데 시사하고자 하는 바가 확실하게 느껴져서 좋았어요,10
아바타1 당시 cg수준때 아바타를 보니까웅장하고 엄청났는데지금의 기술력으로 아바타2 아이맥스로보니1편때 처럼의 그런 느낌은 전혀 없었음..그냥 그런 스토리와 이젠 익숙해져버린 cg가 전부..너무 기대하지는 말길..,6
뮤지컬 영화인데 화면전환도 너무 자연스럽고 배우분들 모두 연기를 너무 잘 하세요 ,10
애국심이 불타오르네요,10
